epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.893,1.90354,3.37217,1.33421,0.01006,0.6121,0.05501,0.02837,1.59827,3.27632,1.15899,0.000655367,0.000655367,0.000655367
2,393.9,1.75544,2.31376,1.22522,0.36728,0.3452,0.25558,0.12224,1.75939,2.50383,1.34949,0.0013168,0.0013168,0.0013168
3,584.135,1.76715,2.18402,1.25669,0.3647,0.33452,0.26725,0.14423,1.68107,3.13367,1.30641,0.00197295,0.00197295,0.00197295
4,781.889,1.74493,2.01271,1.25268,0.47177,0.46405,0.41874,0.21683,1.72931,2.06907,1.31256,0.00197624,0.00197624,0.00197624
5,977.822,1.72817,1.86169,1.24016,0.3331,0.46619,0.3123,0.15723,1.70068,2.62594,1.39952,0.00196832,0.00196832,0.00196832
6,1178.71,1.62872,1.76901,1.2137,0.42396,0.43772,0.39674,0.21391,1.69473,2.40278,1.284,0.0019604,0.0019604,0.0019604
7,1385.41,1.62056,1.61789,1.19951,0.46031,0.5516,0.45554,0.24247,1.58796,1.63346,1.22221,0.00195248,0.00195248,0.00195248
8,1583.2,1.60425,1.56715,1.15098,0.50811,0.51465,0.45893,0.24182,1.58919,1.65554,1.24933,0.00194456,0.00194456,0.00194456
9,1779.25,1.57939,1.55272,1.20138,0.47309,0.42497,0.3923,0.22327,1.53684,1.74672,1.26603,0.00193664,0.00193664,0.00193664
10,1975.49,1.58298,1.52835,1.18537,0.4562,0.46263,0.44094,0.23966,1.56808,1.61069,1.21687,0.00192872,0.00192872,0.00192872
11,2177.58,1.53508,1.42727,1.18056,0.44025,0.48399,0.44938,0.24935,1.59945,1.57182,1.21139,0.0019208,0.0019208,0.0019208
12,2390.64,1.59149,1.47107,1.16426,0.48183,0.53381,0.46771,0.23889,1.60547,1.69029,1.21014,0.00191288,0.00191288,0.00191288
13,2584.72,1.51256,1.3675,1.1242,0.54636,0.53737,0.52181,0.27504,1.49963,1.40474,1.17081,0.00190496,0.00190496,0.00190496
14,2783.05,1.53748,1.37291,1.15906,0.52482,0.52669,0.51167,0.27752,1.58375,1.44661,1.22222,0.00189704,0.00189704,0.00189704
